0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
[17.658690214157104],[16.656536102294922],[18.205572605133057],[17.66522455215454],[17.299297094345093],[18.359198570251465],[17.043238162994385],[18.29865312576294],[16.73587465286255],[19.14961576461792],[17.377922534942627],[18.471676349639893],[17.048763513565063],[18.594507694244385],[16.840721607208252],[20.856309175491333],[17.460423231124878],[18.39083957672119],[17.27005171775818],[16.88289713859558],[18.878838300704956],[18.04886269569397],[18.91167902946472],[16.88718032836914],[18.1064555644989],[16.703850030899048],[18.472570419311523],[16.575908660888672],[18.366697549819946],[16.385382413864136],[19.88080906867981],[17.757208824157715],[19.84760093688965],[19.017122507095337],[17.10894250869751],[18.750765085220337],[16.863844633102417],[18.185072422027588],[19.398080587387085],[18.33509874343872],[16.72706699371338],[20.566283226013184],[19.0283362865448],[16.779414892196655],[19.318792581558228],[17.33310103416443],[19.3129620552063],[16.820420265197754],[19.36622714996338],[16.670919179916382],[20.142139434814453],[18.017136335372925],[18.917237043380737],[20.77633285522461],[16.803600311279297],[19.619062185287476],[17.179450273513794],[20.069347620010376],[17.37702465057373],[18.331656455993652],[17.228535890579224],[17.165642499923706],[17.083115339279175],[16.56719946861267],[17.778164386749268],[17.219096660614014],[16.75081157684326],[16.734467029571533],[16.723392963409424],[17.091660976409912],[18.821242809295654],[17.128915309906006],[16.97074031829834],[17.066619157791138],[16.54820227622986],[16.923709630966187],[17.72849154472351],[16.917221307754517],[17.038973808288574],[16.945489168167114],[17.016613006591797],[16.487414121627808],[16.357871532440186],[15.829417943954468],[16.64189052581787],[16.954576015472412],[16.135981559753418],[16.027242183685303],[16.45061469078064],[16.01944327354431]
[16.855271100997925],[16.36956787109375],[16.28723931312561],[16.29141139984131],[16.320093154907227],[16.381790161132812],[16.426069974899292],[16.211740732192993],[16.345227241516113],[16.23697328567505],[16.369481801986694],[16.542883157730103],[16.487345695495605],[16.42436933517456],[16.432916402816772],[16.333511114120483],[17.31250309944153],[15.98976469039917],[16.380191326141357],[16.51863932609558],[16.747466325759888],[16.188631534576416],[16.04609251022339],[16.108230590820312],[16.385019540786743],[16.9831223487854],[16.117206811904907],[16.298954486846924],[16.03487277030945],[16.12544536590576],[16.612487077713013],[16.061636447906494],[16.3078715801239],[16.577195405960083],[16.57627296447754],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
